"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Bogdan Bogdanovic","LAC","SG,SF","9.8","2.3","2.1","0.2","0.7",".444",".892","1.8","71","20.6","1.1"
"Donovan Clingan","POR","C","9.7","10.5","1.7","2.2","0.7",".540",".598","0.3","73","27.5","1.6"
"Duncan Robinson","DET","SG,SF","9.7","2.1","2.0","0.1","0.5",".440",".889","2.2","75","21.8","1.1"
"Grayson Allen","PHO","PG,SF,SG","9.5","2.8","2.2","0.3","0.8",".455",".855","2.0","72","23.8","1.0"
"Jeremy Sochan","SAS","C,PF DTD","9.5","5.1","2.2","0.4","0.7",".492",".722","0.6","72","23.2","1.3"
"Kentavious Caldwell-Pope","MEM","SG,SF","9.4","2.5","2.1","0.5","1.3",".443",".863","1.6","77","30.9","0.9"
"Russell Westbrook III","FA","PG DTD","9.4","3.7","4.3","0.4","0.9",".439",".667","0.8","48","19.6","2.1"
"Scotty Pippen Jr.","MEM","PG,SG","9.4","3.2","4.1","0.4","1.2",".475",".728","1.0","75","20.6","1.7"
"Spencer Dinwiddie","CHA","PG,SG","9.3","2.2","3.8","0.2","0.7",".398",".802","1.3","78","24.0","1.1"
"Toumani Camara","POR","SF,PF","9.3","4.9","1.7","0.5","1.1",".459",".734","1.4","77","27.3","1.2"
"Nikola Jovic","MIA","C,PF","9.2","3.8","2.6","0.3","0.8",".453",".815","1.5","70","22.3","1.1"
"Naji Marshall","DAL","PF,SF","9.2","3.6","2.2","0.2","0.7",".488",".804","0.7","75","21.7","1.2"
"Isaiah Hartenstein","OKC","C","9.1","9.0","3.1","1.1","1.0",".593",".690","0.0","72","25.6","1.4"
"Chris Boucher","FA","PF,C","9.0","4.8","0.6","0.6","0.5",".497",".774","1.3","48","15.7","0.6"
"Royce O'Neale","PHO","SF,PF","8.9","5.0","3.0","0.5","0.9",".402",".720","2.3","77","27.9","1.0"
"Yves Missi","NOR","C DTD","8.9","7.6","1.3","1.3","0.5",".554",".622","0.0","76","27.4","1.0"
"Herbert Jones","NOR","SF,PF","8.9","3.2","2.3","0.6","1.4",".464",".825","1.0","72","27.7","1.2"
"Ziaire Williams","BKN","SG,SF","8.8","3.8","1.5","0.3","0.8",".411",".821","1.3","73","22.5","1.0"
"Draymond Green","GSW","PF,C","8.8","6.6","5.8","1.0","1.4",".445",".701","1.0","73","29.3","2.5"
"Dereck Lively II","DAL","C","8.7","7.0","1.9","1.4","0.6",".724",".599","0.0","72","23.5","1.0"
"Clint Capela","HOU","C OUT","8.7","8.3","0.9","1.0","0.5",".587",".588","0.0","72","20.7","0.8"
"Jonas Valanciunas","DEN","C","8.7","6.4","1.5","0.5","0.3",".561",".841","0.2","77","16.1","1.1"
"Georges Niang","BOS","PF OUT","8.5","3.0","1.1","0.2","0.3",".434",".826","1.8","79","20.7","1.0"
"Bruce Brown Jr.","DEN","SG,SF DTD","8.5","3.6","2.2","0.3","0.8",".459",".804","0.7","72","22.5","1.0"
"Marcus Smart","LAL","PG,SG","8.5","2.1","3.5","0.3","1.1",".419",".764","1.3","68","22.1","1.7"
"Jusuf Nurkic","UTH","C","8.4","7.7","2.4","0.6","0.7",".495",".653","0.4","73","20.9","1.9"
"Tristan Vukcevic","WAS","PF,C DTD","8.2","3.3","1.0","0.6","0.3",".488",".778","1.0","70","13.6","1.0"
"Kelly Olynyk","SAS","PF,C","8.2","4.2","3.1","0.4","0.8",".518",".815","0.8","70","19.9","1.6"
"Tyus Jones","ORL","PG","8.1","2.1","4.3","0.1","0.8",".443",".844","1.4","78","22.5","0.9"
"Patrick Williams","CHI","PF,SF","8.0","3.3","1.5","0.5","0.7",".420",".773","1.3","72","22.8","1.1"
"Jose Alvarado","NOR","PG DTD","8.0","2.0","3.2","0.2","1.1",".393",".791","1.5","75","20.0","1.1"
"Tre Jones","CHI","PG,SG","7.9","2.7","4.5","0.1","0.9",".501",".844","0.5","71","21.6","1.0"
"Nickeil Alexander-Walker","ATL","SG,SF","7.8","2.5","2.4","0.4","0.7",".430",".775","1.4","79","21.2","1.0"
"Mike Conley","MIN","PG","7.7","2.3","4.4","0.2","0.9",".419",".876","1.6","73","22.5","1.0"
"Neemias Queta","BOS","C,PF","7.7","6.3","1.2","1.3","0.5",".640",".741","0.0","73","20.3","1.0"
"Kyshawn George","WAS","PF,SF,SG","7.7","3.8","2.2","0.6","0.9",".376",".752","1.5","75","24.3","1.2"
"Nick Richards","PHO","C G-League","7.7","6.5","0.7","0.9","0.3",".633",".742","0.0","73","19.7","1.0"
"Grant Williams","CHA","PF,C OUT","7.7","3.6","1.7","0.5","0.6",".440",".781","1.3","69","24.1","1.1"
"Collin Murray-Boyles","TOR","C,PF","7.7","3.7","1.0","0.6","0.5",".528",".705","0.1","75","16.2","1.1"
"Terance Mann","BKN","SG,SF","7.5","2.9","2.0","0.2","0.6",".487",".760","0.8","76","21.9","0.7"
"Jalen Wilson","BKN","SF,PF","7.4","2.8","1.7","0.1","0.4",".399",".819","1.1","77","21.0","0.8"
"Zach Collins","CHI","C,PF","7.4","4.3","1.9","0.4","0.4",".501",".803","0.6","70","16.1","1.2"
"Jalen Smith","CHI","PF,C","7.3","4.7","0.8","0.5","0.3",".496",".764","0.9","72","14.3","0.6"
"Isaiah Jackson","IND","PF,C OUT","7.3","4.6","1.0","1.4","0.6",".598",".669","0.0","70","16.2","0.8"
